MYPKG/SGSIN,FLW,FFW,PFW,SCW,FEW,9VW,VIW
DKAAR,DEHAM,DEHAM ,NA,DEHAM,DEHAM,DEHAM,DEHAM
DKCPH,DEHAM,DEHAM ,NA,DEHAM ,DEHAM,DEHAM,DEHAM 
DKFRC,DEHAM,DEHAM ,NA,DEHAM,DEHAM,DEHAM,DEHAM 
DKAAL,DEHAM,DEHAM ,NA,DEHAM ,DEHAM,DEHAM,DEHAM 
EETLL,DEHAM,DEHAM ,NA,N/A,DEHAM,DEHAM,DEHAM 
FIHEL,DEHAM,DEHAM ,NA,N/A,DEHAM,DEHAM,DEHAM 
FIKTK,DEHAM,DEHAM ,NA,N/A,DEHAM,DEHAM,DEHAM 
FIMTL,DEHAM,DEHAM ,NA,N/A,DEHAM,DEHAM,DEHAM 
FIOUL,DEHAM,DEHAM ,NA,N/A,DEHAM,DEHAM,DEHAM 
FIRAU,DEHAM,DEHAM ,NA,N/A,DEHAM,DEHAM,DEHAM 
FRBAS,FRLEH,FRLEH,NA,N/A,N/A,N/A,N/A 
FRFGL,FRLEH,FRLEH,NA,N/A,N/A,N/A,N/A 
FRSXB,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
FRBES,FRLEH,FRLEH,NA,N/A,N/A,N/A,N/A 
FRDGS,FRDKK,N/A,NA,N/A,N/A,N/A,N/A
FRLRH,FRLEH,FRLEH,NA,N/A,N/A,N/A,N/A
FRLIO,FRLEH,FRLEH,NA,N/A,N/A,N/A,N/A
FRMTX,FRLEH,FRLEH,NA,N/A,N/A,N/A,N/A
FRURO,N/A,FRLEH,NA,N/A,N/A,N/A,N/A
DEBRV,MYPKG + FAL23 BEANR,BEANR,NA,MYPKG + FAL23 BEANR,NA,BEANR,NA
DEBRE,DEHAM,DEHAM ,NA,N/A,DEHAM,DEHAM,DEHAM 
DEDUI,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
DEMUC,DEHAM,DEHAM ,NA,N/A,DEHAM,DEHAM,DEHAM 
DENUE,DEHAM,DEHAM ,NA,N/A,DEHAM,DEHAM,DEHAM 
IEORK,GBSOU,N/A ,NA,N/A,N/A,N/A,N/A
IEDUB,GBSOU,N/A ,NA,N/A ,N/A ,N/A ,N/A 
ISREY,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
LVRIX,DEHAM,DEHAM ,NA,DEHAM,DEHAM,DEHAM,DEHAM 
LTKLJ,DEHAM,DEHAM ,NA,DEHAM,DEHAM,DEHAM,DEHAM 
NLAMS,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
GBBEL,GBSOU,N/A ,NA,N/A ,N/A ,N/A ,N/A 
NOBGO,NLRTM,N/A,NA,NLRTM,NLRTM,NLRTM,NLRTM 
NOBVK,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
NOKRS,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
NOMSS,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
NOOSL,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
NOSVG,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
NOTRD,NLRTM + NOOSL,NLRTM + NOOSL,NA,NLRTM + NOOSL,NLRTM + NOOSL,NLRTM + NOOSL,NLRTM + NOOSL
NOGJM,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
NOORK,DEHAM / NLRTM,DEHAM / NLRTM,NA,DEHAM / NLRTM,DEHAM / NLRTM,DEHAM / NLRTM,DEHAM/NLRTM
NOLAR,NLRTM + NOBVK,NLRTM + NOBVK,NA,NLRTM + NOBVK,NLRTM + NOBVK,NLRTM + NOBVK,NLRTM + NOBVK
PLGDN,DEHAM,DEHAM ,PLGDN,DEHAM,DEHAM,DEHAM,DEHAM 
PLGDY,DEHAM,DEHAM ,NA,DEHAM,DEHAM,DEHAM,DEHAM 
PLSZZ,DEHAM,DEHAM ,NA,DEHAM,DEHAM,DEHAM,DEHAM 
PTLEI,ESALG/NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
PTSET,ESALG/NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
PTLIS,ESALG/NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
RUKGD,DEHAM,DEHAM ,NA,DEHAM,DEHAM,DEHAM,DEHAM 
RUULU,DEHAM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
ESBIO,FRLEH,FRLEH,NA,N/A,N/A,N/A,N/A
ESGIJ,FRLEH,FRLEH,NA,N/A,N/A,N/A,N/A
ESVGO,ESALG,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
ESALG,ESALG,N/A,NA,N/A,N/A,N/A,N/A
SEGVX,DEHAM,DEHAM ,NA,DEHAM,DEHAM,DEHAM,DEHAM 
SEGOT,DEHAM,NLRTM,SEGOT,NLRTM,NLRTM,DEHAM,NLRTM
SEHAD,DEHAM,DEHAM ,NA,DEHAM,DEHAM,DEHAM,DEHAM 
SEHEL,DEHAM,DEHAM ,NA,DEHAM,DEHAM,DEHAM,DEHAM 
SENRK,DEHAM,DEHAM ,NA,DEHAM,DEHAM,DEHAM,DEHAM 
SESTO,DEHAM,DEHAM ,NA,DEHAM,DEHAM,DEHAM,DEHAM 
GBGRG,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
GBGRK,GBSOU,N/A ,NA,N/A,N/A,N/A,N/A
GBIMM,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
GBLIV,GBSOU,N/A ,NA,N/A,N/A,N/A,N/A
GBSSH,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
GBTEE,NLRTM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
GBTIL,DIRECT NEMO or VIA NLRTM  + FEEDER ,DIRECT NEMO or VIA NLRTM  + FEEDER ,NA,DIRECT NEMO or VIA NLRTM  + FEEDER ,DIRECT NEMO or VIA NLRTM  + FEEDER ,DIRECT NEMO or VIA NLRTM  + FEEDER ,DIRECT NEMO or VIA NLRTM  + FEEDER 
RULED,DEHAM,NLRTM,NA,NLRTM,NLRTM,NLRTM,NLRTM
SEVST,DEHAM/SEGOT,NLRTM/SEGOT,NA,NLRTM/SEGOT,NLRTM/SEGOT,DEHAM/SEGOT,DEHAM/SEGOT
